species-name,common-name,common-name-th,common-name-th2,genus,family,images,num-images,num-observations,,
Rhus succedanea L.,wax tree,ต้นไม้อะไรบางอย่าง,ต้นไม้ต้น,rhus,anacardiaceae,"['https://bs.plantnet.org/image/s/a40abb4b0ed920827041970df62064c5c44b89a6', 'https://bs.plantnet.org/image/s/eb16c0d856d18dfab5b13c84344b90c7932043aa', 'https://bs.plantnet.org/image/s/a671249e7e8991231a411aae104f9097741b5f50', 'https://bs.plantnet.org/image/s/b7eb5f7c11e5c82aa14136dc7ef697a40c95894f', 'https://bs.plantnet.org/image/s/e203eda7e60eb9da1b61001c77da5555d1850ad6', 'https://api.plantnet.org/v1/gbif/3190625/map.png']",24,16,,
Rhynchospora corymbosa (L.) Britton,golden beak sedge,กกจะงอยทอง,กกกกกกทอง,rhynchospora,cyperaceae,"['https://bs.plantnet.org/image/s/d563a0bb75ca679ab77528f6e60e03eb0f186556', 'https://bs.plantnet.org/image/s/8d41947d9981a10cca84a1282ed9d07b8387ff91', 'https://bs.plantnet.org/image/s/d84001b9b9247e2a35ffffb8cc88b9302833bad5', 'https://bs.plantnet.org/image/s/415edba4b55577395aa036d71e0c89a3e3f1c19c', 'https://bs.plantnet.org/image/s/72f3c1b290b396994704dfdd0f0b27625bf4b15f', 'https://api.plantnet.org/v1/gbif/2721495/map.png']",LC,27,,
Ricinus communis L.,castor-oil-plant,น้ำมันละหุ่ง-พืช,ไม้ละหุ่ง,ricinus,euphorbiaceae,"['https://bs.plantnet.org/image/s/0547c8ba2332b770adb59dcd31175ecd6f78ca53', 'https://bs.plantnet.org/image/s/2db5cb8fb9115c6a59bf23208a562a7ac7a5a62d', 'https://bs.plantnet.org/image/s/8b3f1821929543483d0fe2982a97480fed20021b', 'https://bs.plantnet.org/image/s/697f0a3faf587efdbab0d355c7c4e4c77e773337', 'https://bs.plantnet.org/image/s/b9fc9980a9c2ee533fb7fd3b6ef5c7067837562b', 'https://api.plantnet.org/v1/gbif/5380041/map.png']",12841,10306,,
Rollinia mucosa (Jacq.) Baill.,wild sugar apple,แอปเปิ้ลน้ำตาลป่า,แอปเปิ้ลน้ำตาลป่า,rollinia,annonaceae,"['https://bs.plantnet.org/image/s/77b74754443d860f40f23de0308b040bb03e3d7b', 'https://bs.plantnet.org/image/s/ec88c606a1d34c4da0b0f84d7d4819b43377d4db', 'https://bs.plantnet.org/image/s/b10b8185d7ec04bdde722a8837c851011a0a01de', 'https://bs.plantnet.org/image/s/5567761632c0640d087443dd9de213311bc13675', 'https://bs.plantnet.org/image/s/7e4296c51b5a9c82fcbd54fe8585642bd72ee68e', 'https://api.plantnet.org/v1/gbif/3158590/map.png']",49,35,,
Rorippa dubia (Pers.) H.Hara,variableleaf yellowcress,ตัวแปรใบเหลืองเครส,Variableleaf Yellowcress,rorippa,brassicaceae,"['https://bs.plantnet.org/image/s/35b0b6ccd406a323bf7ab4acd63886afcc867e1f', 'https://bs.plantnet.org/image/s/680993ec816be3c40cb1dad84b05a96ca1be620f', 'https://bs.plantnet.org/image/s/2735af8b90e1d28b809d5ea8b9c02813488c6a0b', 'https://bs.plantnet.org/image/s/e4de3c14e9a22c6a683424711916ddd5c83af4c5', 'https://bs.plantnet.org/image/s/775c35e32918b93cdffc8e09072e712e196805e6', 'https://api.plantnet.org/v1/gbif/3053336/map.png']",13,6,,
Rorippa nasturtium-aquaticum (L.) Hayek,brown cress,เครสสีน้ำตาล,Cress สีน้ำตาล,rorippa,brassicaceae,"['https://bs.plantnet.org/image/s/98e31787df75c81a8c9e9b2804c89ef3e6f7c6bc', 'https://bs.plantnet.org/image/s/a0683a768e1a948a2cac407315d0890199f061ed', 'https://bs.plantnet.org/image/s/ff57085b98e8a5bdbf5212bf0e22265b430ecb3e', 'https://bs.plantnet.org/image/s/bc83c7585c9de6fe3bc9e2e0e45c5214711fa08c', 'https://bs.plantnet.org/image/s/fcd30efadae489953883cbe92c394df5608b3f21', 'https://api.plantnet.org/v1/gbif/3047558/map.png']",137,94,,
Rosa luciae Franch. & Rochebr.,memorial rose,อนุสรณ์สถานเพิ่มขึ้น,กุหลาบอนุสรณ์,rosa,rosaceae,"['https://bs.plantnet.org/image/s/3b2179c4c6141cf03fbfd64d8cbb9ffd06093dc6', 'https://bs.plantnet.org/image/s/cbd5a18656dd2ab486dea9c771c0414cf82f9c4e', 'https://bs.plantnet.org/image/s/f8d70af35de39c48950d67d3021db409ac69981d', 'https://bs.plantnet.org/image/s/0ce4be5281be74f15345d4540597e6bb5bfbf64f', 'https://bs.plantnet.org/image/s/d444c230e7003a707845c7b24c8f62f94f836431', 'https://api.plantnet.org/v1/gbif/3008275/map.png']",61,50,,
Rosmarinus officinalis L.,rosemary,โรสแมรี่,โรสแมรี่,rosmarinus,lamiaceae,"['https://bs.plantnet.org/image/s/2cba7f53c0f53b193e5a92cbff414c383d511364', 'https://bs.plantnet.org/image/s/b0cdc18972fe2254067f7b71a5fbdbc8c511f805', 'https://bs.plantnet.org/image/s/1ac1fae12f59ed10f5b6a38af30ef7630e0d87c6', 'https://bs.plantnet.org/image/s/05f4a17313437eefce3ac3c1345d173c60716dc0', 'https://bs.plantnet.org/image/s/78df2947883ef21aabdc9605396145b596d7db5e', 'https://api.plantnet.org/v1/gbif/2926634/map.png']",16187,13914,,
Rotula aquatica Lour.,aquatic rotula,โรทูลาทางน้ำ,rotula น้ำ,rotula,boraginaceae,"['https://bs.plantnet.org/image/s/4657d42e10d925fcb2b53fda1562d136a707059a', 'https://bs.plantnet.org/image/s/3e5aa246460bb559ce6ca19a6724ea260c2e91f3', 'https://bs.plantnet.org/image/s/4b33da4b5b09914352c22ba43997308eb18c998a', 'https://bs.plantnet.org/image/s/2544d62c01876a56cf8a3366baff5ec006cf97c5', 'https://bs.plantnet.org/image/s/a9694a342273fb52a3602c856485f20c5d659ec6', 'https://api.plantnet.org/v1/gbif/5660141/map.png']",5,2,,
Rourea minor (Gaertn.) Alston,,,,rourea,connaraceae,"['https://bs.plantnet.org/image/s/b3a942f046d8e920b2bf6d1d7f47ce88f8c2c738', 'https://bs.plantnet.org/image/s/e2bd8f0f572a1d00c6d928cb56c90736b918be0c', 'https://bs.plantnet.org/image/s/1a382a4cc2e4c8cbdb517a6c027035145102d943', 'https://bs.plantnet.org/image/s/cfa657f8a7b030d475c094e3c7eb61289f44aaac', 'https://api.plantnet.org/v1/gbif/7780480/map.png']",4,4,,
Rubia cordifolia L.,indian madder,แมดเดอร์อินเดีย,แมดเดอร์อินเดีย,rubia,rubiaceae,"['https://bs.plantnet.org/image/s/1fac6889a103bfc5519e5e06e27d5d8606dc21e1', 'https://bs.plantnet.org/image/s/a717366e2b8cd3ea807adf7a43f74b2a90c41f45', 'https://bs.plantnet.org/image/s/50c231a30fc68bcdc817afdebe416401bf8a65c1', 'https://bs.plantnet.org/image/s/111bacd9863e44bab581bb77523edad634eca9ef', 'https://bs.plantnet.org/image/s/6454a12647e4aa0f2da3094193af056b9e306ba2', 'https://api.plantnet.org/v1/gbif/2892192/map.png']",15,8,,
Rubus ellipticus Sm.,cheeseberry,ชีสเบอร์รี่,ชีสเบอร์รี่,rubus,rosaceae,"['https://bs.plantnet.org/image/s/720b9b2151263430ac90c130f8ad480adc645736', 'https://bs.plantnet.org/image/s/ff9135440823b22e3b6ac6bf9ee1872981b1a59a', 'https://bs.plantnet.org/image/s/d12265fa9b82fe6825de9dd1d3851e1a9eafa387', 'https://bs.plantnet.org/image/s/6f745be3e455cd4044b511a59673813caa4782fb', 'https://bs.plantnet.org/image/s/1d52b6c8eb28ad61c210ea6986ee17cc8f695da3', 'https://api.plantnet.org/v1/gbif/2991314/map.png']",LC,113,,
Rubus fraxinifolius Poir.,atherton raspberry,ราสเบอร์รี่แอเธอร์ตัน,Atherton Raspberry,rubus,rosaceae,"['https://bs.plantnet.org/image/s/45de666696c6ecc422f95f914fa49d07af2f984f', 'https://bs.plantnet.org/image/s/50be7e96d10cb264cf4a6153e51f13482952b00d', 'https://bs.plantnet.org/image/s/8e440463e3aef1ea911cefec6b9a25486dc807f5', 'https://bs.plantnet.org/image/s/f584ca0adfd0ffc53eb4620817d26c5961ca8dcb', 'https://bs.plantnet.org/image/s/ccfb810bc34ff2444cc8f6224fa8989a8d394512', 'https://api.plantnet.org/v1/gbif/2991951/map.png']",83,46,,
Rubus niveus Thunb.,hill raspberry,ราสเบอร์รี่ฮิลล์,ราสเบอร์รี่ฮิลล์,rubus,rosaceae,"['https://bs.plantnet.org/image/s/07752aea2b8e391e8324a6b028c8b032920fc41f', 'https://bs.plantnet.org/image/s/abcbd86a0effd5d9b70a45afa95b87273fd59dff', 'https://bs.plantnet.org/image/s/5bb65015e81ac80141594099000a1a25d7278d3d', 'https://bs.plantnet.org/image/s/d83575de4c0a9439483380de44c2c16d5a566f6d', 'https://bs.plantnet.org/image/s/480a90c0d5527f167fde40aafed8124ff1ec45bd', 'https://api.plantnet.org/v1/gbif/2989183/map.png']",280,193,,
Rubus pectinellus Maxim.,,,,rubus,rosaceae,"['https://bs.plantnet.org/image/s/7045ee7df0a0e1ab0f5902697ddedeaf66a2f1ee', 'https://bs.plantnet.org/image/s/29da21c53363b5646c7fe036f9606761584ac6b6', 'https://bs.plantnet.org/image/s/258de4d6eb5963af786c2938b844093b7758a9e7', 'https://bs.plantnet.org/image/s/0f5b37560ddcc1098e52ef80de7e544ef4f643db', 'https://bs.plantnet.org/image/s/db685171f29dc8b0ebf5c300cc7c5dec8f8e98d6', 'https://api.plantnet.org/v1/gbif/2993389/map.png']",5,5,,
Rubus rolfei J.E.Vidal,,,,rubus,rosaceae,"['https://bs.plantnet.org/image/s/dcd5bc8b81b494fc1e8ece3c7d08724f7f295cb3', 'https://bs.plantnet.org/image/s/84b51aa04b7d4224116cda1c270bf5cd8c1e9ec8', 'https://bs.plantnet.org/image/s/9b7d0080b96628a4ea7b2b3540715e6547baa3e5', 'https://bs.plantnet.org/image/s/575d493a28abede16bb3d04654264e1f59df19f4', 'https://bs.plantnet.org/image/s/a7715f82932dee976f1e00053ecce5a194ca783e', 'https://api.plantnet.org/v1/gbif/12355696/map.png']",9,6,,
Rubus rosifolius Sm.,bramble-of-the-cape,หนามของแหลม,พุ่มไม้,rubus,rosaceae,"['https://bs.plantnet.org/image/s/621b04b11b2de723d720d035221b5059f44bb23e', 'https://bs.plantnet.org/image/s/20538453f456b8068c25ef5b63c2be5f7000c595', 'https://bs.plantnet.org/image/s/6534499841acd0344aa28cc0f2d1db4929ff2206', 'https://bs.plantnet.org/image/s/f45150fffcfd0d4cda649937b96a3a74f16fceef', 'https://bs.plantnet.org/image/s/5330b17b078efdb8e385e1624d142a44bf263fa3', 'https://api.plantnet.org/v1/gbif/8234521/map.png']",738,473,,
Ruellia tuberosa L.,minnieroot,มินนี่รูท,มินนิเนียร์ท,ruellia,acanthaceae,"['https://bs.plantnet.org/image/s/179e66fb4a6cfeb3ed2f71c11f911d5aa8a2fda5', 'https://bs.plantnet.org/image/s/3d81e885c4d5fc2370ca001613d54f148c0a9f5c', 'https://bs.plantnet.org/image/s/4fdd7e0e61dc7225e4f7f46c6313fa7133349e9d', 'https://bs.plantnet.org/image/s/d363d3b1d5dfca7faab0cf6b30d6d54f46d21e36', 'https://bs.plantnet.org/image/s/6c499549c66177430bcd4ccfd2081cb8754887bb', 'https://api.plantnet.org/v1/gbif/5415418/map.png']",480,368,,
Rumex acetosa L.,common sorrel,สีน้ำตาลทั่วไป,อาหารม่วงสามัญ,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/df52475b3bec0634480563f1aeb4b7848645a1c1', 'https://bs.plantnet.org/image/s/dd8dd121894fcaf4e7c04975c29078a54a45a13d', 'https://bs.plantnet.org/image/s/fe62b32cb467bcb4309a273fdc7a9b6491736d51', 'https://bs.plantnet.org/image/s/713c33bba49b1a9d6baa7dc2afe25732af6a1236', 'https://bs.plantnet.org/image/s/4e6e622df10973bedf20c74a2fb17dc83e426a06', 'https://api.plantnet.org/v1/gbif/2888951/map.png']",7274,5628,,
Rumex crispus L.,curly dock,ท่าเรือหยิก,ท่าเรือหยิก,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/d7e7ebaa97f508f38054784c8d2c644056b055bf', 'https://bs.plantnet.org/image/s/5e5e17d6d469e63d2566de66a44daacdb7871704', 'https://bs.plantnet.org/image/s/5fd3af4a0a4e49f78b53a976d3e4c2cbf1a1406f', 'https://bs.plantnet.org/image/s/d37b4e9f2f0d9d139f54e25be07f997a1148089e', 'https://bs.plantnet.org/image/s/7079e6c95314db2909882e709bf33e728feb2aad', 'https://api.plantnet.org/v1/gbif/8195144/map.png']",10552,7854,,
Rumex hydrolapathum Huds.,great water dock,ท่าเรือน้ำที่ยอดเยี่ยม,ท่าเรือน้ำที่ดี,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/7bf9a9e914964ce10cc20f94ef2ee5f975d03f3b', 'https://bs.plantnet.org/image/s/f8bedfaf3ec24e522dc77951f9c9b99a63291569', 'https://bs.plantnet.org/image/s/878ec4a5664df09176f67d7fe40c9f8352931d58', 'https://bs.plantnet.org/image/s/9beb6598e436e401fc5feec606e0cc53c6d33924', 'https://bs.plantnet.org/image/s/9c77b0dcbd0ea531ad9e044ba035b763f61fc801', 'https://api.plantnet.org/v1/gbif/7291247/map.png']",LC,868,,
Rumex maritimus L.,maritime dock,ท่าเรือทางทะเล,ท่าเรือทะเล,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/620ff01305438de8dec2b08998572bab5c3768a3', 'https://bs.plantnet.org/image/s/67106aaa5386caa2320d85d199a10a158743080c', 'https://bs.plantnet.org/image/s/b9b4fbcb13f8cc017af1fbb73125962e274addfc', 'https://bs.plantnet.org/image/s/f45ca2ac896555cc5d82349c9f6c36e59f8ccb65', 'https://bs.plantnet.org/image/s/91b5037db07394b80049ce67a8c0c05cd5c1b22b', 'https://api.plantnet.org/v1/gbif/2888980/map.png']",105,73,,
Rumex nepalensis Spreng.,,,,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/ac25d70733c56de56b7f981d36154e34ef0629c9', 'https://bs.plantnet.org/image/s/9a1eca2e82fa935593f229ba19e15263af319a31', 'https://bs.plantnet.org/image/s/d341e6213f0e84dfddec7bd0f62a824e963c4e08', 'https://bs.plantnet.org/image/s/395b0eb0a106ff7c3763c9b8b1bc142b83ca9289', 'https://bs.plantnet.org/image/s/b2c13357fc75463c146a438948cce370ef85d285', 'https://api.plantnet.org/v1/gbif/7291884/map.png']",20,6,,
Rumex patientia L.,patience dock,ท่าเรือความอดทน,ท่าเรือความอดทน,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/4824c38b467c11aee7509e5fdaed975ac7418d5a', 'https://bs.plantnet.org/image/s/3a8396d64f72037a4ba4f63230a34b2784c2e9bd', 'https://bs.plantnet.org/image/s/c487528f07c187018f5e59650178b1d21d739a8b', 'https://bs.plantnet.org/image/s/dbb3fbd26e69fe398145f8ef62293477049ca19d', 'https://bs.plantnet.org/image/s/09e473f7565de4b56c8c0b519dd6a185ded276e4', 'https://api.plantnet.org/v1/gbif/2889019/map.png']",3472,2769,,
Rumex rugosus Campd.,wrinkled dock,ท่าเรือย่น,ท่าเรือเหี่ยวย่น,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/ad309f81fd9a92c23f22bc6a9af05f2cb9276ed1', 'https://bs.plantnet.org/image/s/baf765a76ab9d54f500e56c1ea48d627e37c17b3', 'https://bs.plantnet.org/image/s/6dfd530005f6c85c3061b27c94538a0df4ccb952', 'https://bs.plantnet.org/image/s/450acf21484a781297b9e84d9fe6dbe8edbcedc6', 'https://bs.plantnet.org/image/s/282b23a241fc20a7c243cee4a90f37a23d3b7e42', 'https://api.plantnet.org/v1/gbif/2889037/map.png']",53,41,,
Rumex sagittatus Thunb.,climbing dock,ท่าเรือปีนเขา,ปีนท่าเรือ,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/bedecb387ea93466b180451527429a23dc26627a', 'https://bs.plantnet.org/image/s/88a695985705502d3cc425f6d2f362bf4409358e', 'https://bs.plantnet.org/image/s/c68906f7635f708a14aa93aa25e84763d2accb59', 'https://bs.plantnet.org/image/s/346a66f82816dac6397115813e829e0a6a491668', 'https://bs.plantnet.org/image/s/a6a11db56c9b9550cc52825f9c85b12452e0caae', 'https://api.plantnet.org/v1/gbif/4036585/map.png']",17,15,,
Rumex vesicarius L.,bladder dock,ท่าเรือกระเพาะปัสสาวะ,ท่าเรือกระเพาะปัสสาวะ,rumex,polygonaceae,"['https://bs.plantnet.org/image/s/182c36d374b06ec0bb68a7566149b421adc601cd', 'https://bs.plantnet.org/image/s/ffe20742b3a2a8168815ce3bafe5fd6f635853b6', 'https://bs.plantnet.org/image/s/499e2f07e47c93b01b2a576e3bb4986a29f76a3c', 'https://bs.plantnet.org/image/s/9f959088a55b22e242b9869df2b57d99f9d549f9', 'https://bs.plantnet.org/image/s/b18c33d9a421338a79e805d83b7eae5b59d16bb3', 'https://api.plantnet.org/v1/gbif/2888986/map.png']",320,211,,
Rungia klossii S.Moore,mushroom plant,โรงงานเห็ด,พืชเห็ด,rungia,acanthaceae,"['https://bs.plantnet.org/image/s/e465c6745d14ff123af64f1ec62eb4372e421ff2', 'https://bs.plantnet.org/image/s/aaf1a2e947daf9715bcbd0b34a2039c7b0eb5ac2', 'https://bs.plantnet.org/image/s/7b4b6ee60af01db98ed94dfe2e9867f54e61f7bc', 'https://bs.plantnet.org/image/s/afbea8ae237a79d0578dd573cb61aa1e0f3e5990', 'https://bs.plantnet.org/image/s/746411ff8426df93d7ea5aaf7a082518aeb178af', 'https://api.plantnet.org/v1/gbif/3780376/map.png']",29,17,,
Ruppia maritima L.,beaked tasselweed,พู่จะงอย,Tasselweed,ruppia,ruppiaceae,"['https://bs.plantnet.org/image/s/a77fff77218efff1e5300eb8fc56e7f16f5341e5', 'https://bs.plantnet.org/image/s/7473a18398855835790882bc26a801ea029e4658', 'https://bs.plantnet.org/image/s/9823af2c0f4f70607c779bf339fa1231fc4a9ece', 'https://bs.plantnet.org/image/s/1fa4102aa694e64495a0ae6e16a44ee2166a2202', 'https://bs.plantnet.org/image/s/557f5cd6133686b73ae15e3bd7071ef74e9cd36b', 'https://api.plantnet.org/v1/gbif/2864004/map.png']",LC,29,,
Ruta angustifolia Pers.,narrow-leaved fringed rue,ร่องฝอยใบแคบ,แรตรูดใบแคบ ๆ,ruta,rutaceae,"['https://bs.plantnet.org/image/s/9973af0246374fa6d171668977c595cdec9397ab', 'https://bs.plantnet.org/image/s/5d270555250fd0408bc8488eb873aa9949cbd50f', 'https://bs.plantnet.org/image/s/f82002f65d0dadfe344fe49092ed3770a8a53407', 'https://bs.plantnet.org/image/s/03bc6830c884ae8fcbd1fb4736b80d36eac4bb9b', 'https://bs.plantnet.org/image/s/fae73205cccac1a6d7b1570ef37e7f852018c413', 'https://api.plantnet.org/v1/gbif/3832875/map.png']",1486,954,,
Ruta chalepensis L.,fringed rue,ฝอย,รอก,ruta,rutaceae,"['https://bs.plantnet.org/image/s/297971d0c8513e9c31e0c5e89a71bceafeefc115', 'https://bs.plantnet.org/image/s/658df5ad104b5cfbaa09bfa1e3e5b15e99114d39', 'https://bs.plantnet.org/image/s/1b7977ab541e4bc0389f23d675f9253b640d4da9', 'https://bs.plantnet.org/image/s/792894e930eb507b66a5277f7ce05f34bc5ccb4e', 'https://bs.plantnet.org/image/s/1d8155520012fdf673da671ff6b9e4a80c91e941', 'https://api.plantnet.org/v1/gbif/3190381/map.png']",1502,1120,,
Saccharum officinarum L.,sugarcane,อ้อย,อ้อย,saccharum,poaceae,"['https://bs.plantnet.org/image/s/c484292a9fd1bd8cef237ea566549f38e6c05000', 'https://bs.plantnet.org/image/s/96b74bac25f279b90e2c8ca251025b2d81770332', 'https://bs.plantnet.org/image/s/88b00aad1c3c8edb8bb20cbc27c88e8cc3938378', 'https://bs.plantnet.org/image/s/3663d90f29baf6f238e8974904854ccf296d328f', 'https://bs.plantnet.org/image/s/d6c094133ee43bf8f8a52180079d58742f4f6ba0', 'https://api.plantnet.org/v1/gbif/2703912/map.png']",1092,629,,
Saccharum spontaneum L.,fodder cane,อ้อยอาหารสัตว์,อ้อยอาหารสัตว์,saccharum,poaceae,"['https://bs.plantnet.org/image/s/ac515e6df8b894dd221a5735aafaae40dc6f7570', 'https://bs.plantnet.org/image/s/5ce67e41afb19b07d3244a0df8a63a8118b4188a', 'https://bs.plantnet.org/image/s/21f859b474bd2a7ba0be28e1629df066754e693b', 'https://bs.plantnet.org/image/s/5eb98dff4de8ae1bcea795a67195666c8bd53e1c', 'https://bs.plantnet.org/image/s/40cafb5732ca6b8e2f24440b20eb1708c5f8d7c0', 'https://api.plantnet.org/v1/gbif/2703935/map.png']",LC,76,,
Sagittaria guayanensis Kunth,swamp-potato,หนองน้ำมันฝรั่ง,มันฝรั่งหนอง,sagittaria,alismataceae,"['https://bs.plantnet.org/image/s/e28c8dc802984b6f4e01817f8b7c01ce446c06de', 'https://bs.plantnet.org/image/s/8c9b0a9352c340dbc093c2421a43b64f53c99a66', 'https://bs.plantnet.org/image/s/b58ff257b305a295633687f6e995e54be8bbd2cb', 'https://bs.plantnet.org/image/s/062546c5925544a69a86efd3f2e4d2d04b6b5186', 'https://bs.plantnet.org/image/s/8a030a7540c4adbd31fd87635b4610f34accffdb', 'https://api.plantnet.org/v1/gbif/5329055/map.png']",LC,44,,
Sagittaria trifolia L.,threeleaf arrowhead,หัวลูกศรสามใบ,หัวลูกศร Threeaf,sagittaria,alismataceae,"['https://bs.plantnet.org/image/s/17f222ab542524837f012f7c3fa3e41dc56d3f52', 'https://bs.plantnet.org/image/s/a82c741b4cdb92aaad5d7efc7ba04271131d669d', 'https://bs.plantnet.org/image/s/f7c601bbc1550a1dde7d1b589a224dfb3902304c', 'https://bs.plantnet.org/image/s/a48a88a6c3d51bf0abd2deb45a73c6ec3aed8c1e', 'https://api.plantnet.org/v1/gbif/5328972/map.png']",LC,4,,
Salacca affinis Griff.,,,,salacca,arecaceae,"['https://bs.plantnet.org/image/s/41546e7bab3337fb26639bebc3190f0100201476', 'https://bs.plantnet.org/image/s/560a1cac9284aa027ec6337902e61e0613eafd4b', 'https://bs.plantnet.org/image/s/9a1cfda89c501ba36ca5c6d9f388a77505cd8c68', 'https://bs.plantnet.org/image/s/3e9ae393ef88fc7e8606041bfcce3118e9686a88', 'https://bs.plantnet.org/image/s/f5b5bcfde04b92ae39b202cac8a744b67c1fc7fc', 'https://api.plantnet.org/v1/gbif/2731755/map.png']",8,7,,
Salacca wallichiana Mart.,rakum palm,ระกำปาล์ม,ปาล์ม,salacca,arecaceae,"['https://bs.plantnet.org/image/s/2f93341f3fd7ae3bc07ff720629666e39da9b5dc', 'https://api.plantnet.org/v1/gbif/2731751/map.png']",LC,1,,
Salacca zalacca (Gaertn.) Voss,salak,ผลงู,งู,salacca,arecaceae,"['https://bs.plantnet.org/image/s/c0b0f8702a197e62505d65955574c732ddad1c31', 'https://bs.plantnet.org/image/s/d1ffba14a7824937171f920532e565472fda5864', 'https://bs.plantnet.org/image/s/36e94fa496ec29abd81ce0f34a80782f9b564a8e', 'https://bs.plantnet.org/image/s/06ea21c306ba47d5f7c36fb254ea146bf28c0a7c', 'https://bs.plantnet.org/image/s/2c2b40d8add9515005ae0520f3a6765cfe65f63d', 'https://api.plantnet.org/v1/gbif/2731764/map.png']",115,82,,
Salix tetrasperma Roxb.,indian willow,วิลโลว์อินเดีย,วิลโลว์อินเดีย,salix,salicaceae,"['https://bs.plantnet.org/image/s/e45d0ce76b33300df038aec9007c2575fc5c22df', 'https://bs.plantnet.org/image/s/9bf1a86b3fad7cd974056c150516de769540b9a9', 'https://api.plantnet.org/v1/gbif/5582578/map.png']",LC,2,,
Salvia hispanica L.,chia,แบ่ง,แบ่ง,salvia,lamiaceae,"['https://bs.plantnet.org/image/s/048b2b11aeae16aa9035fecf8d020138f848407d', 'https://bs.plantnet.org/image/s/a5504854b300973cdb36d62a01b9c841b2fa4737', 'https://bs.plantnet.org/image/s/69f9ab2b7fe16e02a16ef2160bccc17e6ac36f4d', 'https://bs.plantnet.org/image/s/7dcf9fd4fb6e4d056dd6fdd0929c8170592e60ed', 'https://bs.plantnet.org/image/s/056a11657622b40b9fe60df3ef1314e07786188c', 'https://api.plantnet.org/v1/gbif/2926992/map.png']",946,732,,
Salvia occidentalis Sw.,pegapega,ติดต่อ,stoppega,salvia,lamiaceae,"['https://bs.plantnet.org/image/s/427654f360e598bf5cbbed9a564f101059a4d91d', 'https://bs.plantnet.org/image/s/1bcabbe25b5bed8d878ccb5b3650dd12871ef96e', 'https://bs.plantnet.org/image/s/276fb9add82115c3b0f88cf1116470e42082679a', 'https://bs.plantnet.org/image/s/c55da111b3851ccf3070e9d8234a9cebc1976d16', 'https://bs.plantnet.org/image/s/3bbbf01083f562663c5559168a615e6e59a15ed6', 'https://api.plantnet.org/v1/gbif/2927014/map.png']",38,24,,
Salvia officinalis L.,sage,ปราชญ์,ปราชญ์,salvia,lamiaceae,"['https://bs.plantnet.org/image/s/162f1ae4d56bdb3e1c0bb56ed265403ab3bbea86', 'https://bs.plantnet.org/image/s/a652d65349dcb8bf401ce8063852279259c32acf', 'https://bs.plantnet.org/image/s/735b81b2493cd3d8a41ed2bad17908e1f1a1f90b', 'https://bs.plantnet.org/image/s/c80a0a8b2e1b1e3909ab87012eaa27ec69531f0e', 'https://bs.plantnet.org/image/s/e9bb4b8c84b3c2538ac7d4d2d0fa9213e0088ce1', 'https://api.plantnet.org/v1/gbif/2927004/map.png']",LC,12663,,
Salvia plebeia R.Br.,australian sage,ปราชญ์ชาวออสเตรเลีย,Sage ออสเตรเลีย,salvia,lamiaceae,"['https://bs.plantnet.org/image/s/82146457a8cca12fdc2a0e12ebf4d3254131f59b', 'https://bs.plantnet.org/image/s/a6bd5ca260f217dff5ad70663260e0249568aa9a', 'https://bs.plantnet.org/image/s/7bed5ad7490c27123047890b0c1b6808577a33ca', 'https://bs.plantnet.org/image/s/8c70c4a6674ecac77e14c8f8ad5a21564433f945', 'https://bs.plantnet.org/image/s/8178aa3932ab1026e468a6210ad205a571783e80', 'https://api.plantnet.org/v1/gbif/3891879/map.png']",49,34,,
Samanea saman (Jacq.)Merr.,french-tamarind,มะขามฝรั่งเศส,ภาษาฝรั่งเศส,samanea,fabaceae,"['https://bs.plantnet.org/image/s/cfe918feaca390342dc9acf2359d80c6a9ad0108', 'https://bs.plantnet.org/image/s/854a737128caa2124ca516dcb98ee680f39d1664', 'https://bs.plantnet.org/image/s/306d5263cd896c3ed102651f029a3e3dd0a7ae1f', 'https://bs.plantnet.org/image/s/b643bcaf4285ffb736cebd107c455bd03bacd96a', 'https://bs.plantnet.org/image/s/828bfaf931061532f5fbd4f36553492a4e30ba6c', 'https://api.plantnet.org/v1/gbif/2972960/map.png']",LC,14,,
Sambucus javanica Blume,chinese elder,ผู้เฒ่าชาวจีน,ผู้เฒ่าจีน,sambucus,adoxaceae,"['https://bs.plantnet.org/image/s/054f0517024f048c81aafbae4e0dc79f367c3baa', 'https://bs.plantnet.org/image/s/7cb56c31dee7f1db0f6e476e8dde9938aaa586a1', 'https://bs.plantnet.org/image/s/c63caeb8fae41591a88468cf6c27b27edf4080a7', 'https://bs.plantnet.org/image/s/5d216b4f314e865bd4ba0e8223a57d9ef3836423', 'https://bs.plantnet.org/image/s/253e827b3bab302bfbfd1000396dca34349a397a', 'https://api.plantnet.org/v1/gbif/3856236/map.png']",LC,13,,
